mse,psnr,ssim,L_dc_bits,L_ac_bits,L_total_bits,bpp,compression_ratio,entropy_dc,entropy_ac,entropy_bpp_est,num_dc_symbols,num_ac_symbols,image_idx,q_y,q_c
6.271667701693539,40.15697321259127,0.9063523696069097,541914,10934512,11476426,4.202267441179227,5.711202424866418,4.193343406959156,4.398140280935683,4.163040979440983,128016,2462969,40,2,3.2
7.392975658316148,39.44261084600919,0.9849856394218008,778134,11810292,12588426,4.609443106721035,5.206702728363339,6.051653619764504,4.689660790494463,4.568695019166238,128016,2495369,41,2,3.2
7.308495617735283,39.49252369977622,0.9951419224979862,796668,14624062,15420730,5.646534173462692,4.250394890514262,6.191767765035402,5.161094970154035,5.617027236155074,128016,2818685,42,2,3.2
6.409394138232721,40.06263382028975,0.9885137466616367,687784,11884300,12572084,4.603459235564304,5.213470734048548,5.3415049705377795,5.313282652586639,4.586483701048957,128016,2228740,43,2,3.2
0.89541004640045,48.61058398057695,0.9972609125801227,461709,12197389,12659098,4.635320731392951,5.177635246997851,3.518791748847088,5.034241642929154,4.609030200229242,128016,2410857,44,2,3.2
6.933701768724222,39.7211520295088,0.9858225757472683,676779,6096234,6773013,2.480041435250281,9.67725766951872,5.253493148978836,4.801794246900337,2.4673929143635718,128016,1263265,45,2,3.2
6.336476495125609,40.112325326553616,0.9866436998176239,473048,8902899,9375947,3.4331451976706036,6.990674328683812,3.640097359248268,4.146360747227003,3.395823780692296,128016,2124280,46,2,3.2
7.498714394099175,39.38093548063818,0.9857362817521692,932817,23975442,24908259,9.120536812781214,2.6314240589838094,7.256478282937873,5.64871241556113,9.08593574126942,128016,4228365,47,2,3.2
7.572685616446382,39.33830433605777,0.9896773369065404,801287,15875234,16676521,6.106361094511623,3.9303276744591997,6.228817590204283,5.461081327610914,6.082588752316336,128016,2895802,48,2,3.2
7.234113313960755,39.536950536717185,0.9840546653448015,856686,17329131,18185817,6.6590127161839145,3.604137883934497,6.663463913344841,5.015712171165334,6.614839138391973,128016,3431646,49,2,3.2
7.33351446303587,39.47768208039158,0.9904086051506641,797904,15653918,16451822,6.024084147684665,3.984008093450075,6.2048825523778515,5.483043773268601,6.0034740811296246,128016,2845356,50,2,3.2
6.5912489698553305,39.941126444041615,0.987632752756936,600007,13303878,13903885,5.09111837094582,4.714091924667098,4.665025092020694,4.81814009764852,5.050440100539159,128016,2738732,51,2,3.2
7.697533657902137,39.267287643112894,0.9880263600806248,652342,12526013,13178355,4.825454557438133,4.973624705056132,5.073738648404505,5.497745933257014,4.809045890013986,128016,2270753,52,2,3.2
6.445814024223535,40.03802589852725,0.9870296717095384,546099,8120480,8666579,3.1733993455896137,7.562867885932847,4.2390778209450835,5.008343694800371,3.1543031006044147,128016,1611662,53,2,3.2
7.2512969570209975,39.52664670034515,0.9898366078549968,825021,10751491,11576512,4.238915448068991,5.661825599973464,6.419355275620258,4.991252882358254,4.217813944465759,128016,2143170,54,2,3.2
7.9784947535854895,39.11159397070344,0.9879096223463767,794932,16813694,17608626,6.447665477362205,3.722277479230918,6.183906187027224,5.007475051201638,6.403266473808584,128016,3334162,55,2,3.2
7.0292011838363955,39.66174387364968,0.9853017729947062,740776,13746023,14486799,5.304561173017436,4.5244081870674115,5.742376344429477,5.519928148161748,5.282757744465968,128016,2480492,56,2,3.2
7.281138075513998,39.50881094015567,0.9777087020633489,761380,9576992,10338372,3.7855517083802024,6.3398949080184,5.915369954721344,5.103552038472585,3.767685605495835,128016,1867781,57,2,3.2
7.4319693192647795,39.41976452737749,0.9905364914457446,759040,20078388,20837428,7.629940300431196,3.1455029862610684,5.882800982798726,5.707511672807841,7.601015720150214,128016,3505090,58,2,3.2
